RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
1,"St. Albert, Alta.",64377,0.041,4.3,128270.17,64865.86,561899,373426,2.91,2.57,3286,0.0256,0.05,9474,0.1754,0.0195,3.01,0.56,4.95,351.8,113.42,73.36,176.9,84.46,28.49,3.53,0.09,-0.2528,5648.98,48.9,27.72,1.1,5.28,2.61,1.84
2,"Calgary, Alta.",1306471,0.1,5.9,119771.69,56643.69,620700,435825,3.64,2.36,2782,0.0232,0.05,9474,0.2133,0.0211,4.91,1.1,15.04,326.4,111.77,67.89,170.8,87.21,21.7,4.43,0.16,-0.2423,4442.43,59.53,61.66,1.11,3.94,2.51,2.13
3,"Strathcona County, Alta.",98232,0.092,4.2,137509.4,69141.51,716333,408331,2.97,2.5,3398,0.0247,0.05,9474,0.1895,0.0143,2.67,0.51,3.22,342.65,105.49,70.69,161.9,85.7,29.34,3.54,0.04,0.1768,4001.17,44.52,19.52,0.78,4.55,2.61,1.73
4,"Ottawa, Ont.",953589,0.099,7,103186.09,50922.73,457513,398845,3.87,2.23,2283,0.0221,0.13,8694,0.2226,0.0215,7.25,1.97,21.21,755.45,160.65,118.34,215.6,116.53,16.84,6.64,17.48,-0.1524,4589.7,57.64,59.21,0.91,3.6,2.45,2.86
5,"Burlington, Ont",187497,0.068,5.8,110113.81,52926.57,623548,496412,4.51,2.67,2855,0.0259,0.13,8694,0.2035,0.0266,3.4,0.69,7.59,763.27,135.77,113.91,239,125.32,2.66,9.07,40.8,-0.2475,2611.04,28.59,23.59,1.16,3.32,2.54,1.91
6,"Boucherville, Que.",41928,0.046,3.7,122131.67,58004.29,581748,352698,2.89,2.83,3333,0.0273,0.1498,11302,0.2695,0.0453,2.66,1.51,13.63,844.01,168.19,124.98,228.2,111.82,8.42,7.46,32.93,-0.2373,5056.13,70.83,65.18,0.6,4.22,2.34,2.96
7,"Oakville, Ont.",196722,0.098,7,145694.87,68852.08,948281,692902,4.76,2.7,3756,0.0258,0.13,8694,0.2399,0.0556,2.99,0.53,14.52,725.63,117.55,102.43,221.7,107.18,2.66,8.05,18.25,-0.2475,2611.04,28.59,23.59,1.13,3.08,2.07,2.54
8,"Edmonton, Alta",868392,0.095,6.1,91807.29,42531.87,390402,375308,4.09,2.13,1966,0.0214,0.05,9474,0.1861,0.0158,5.1,1.14,11.72,347.76,122.93,77.31,185.1,88.38,24.62,4.18,1.45,-0.2631,7460.89,91.8,115.38,1.12,4.77,2.61,1.95
9,"Regina, Sask.",221999,0.073,4.8,91328.02,43014.39,392064,372335,4.08,2.13,1965,0.0215,0.1,10195,0.1536,0.0103,5.38,1.25,4,321.11,114.13,74.7,152.9,107.46,45.04,2.73,7.72,-0.2428,10393.1,120.17,116.45,1.52,4.56,2.36,2.16
10,"Qu‚bec, Que.",535353,0.063,4.7,70627.27,31528.43,233850,249015,3.53,2.33,1609,0.0228,0.1498,11302,0.2562,0.0172,8.07,1.53,12.68,899.3,174.93,118.16,194.5,94.07,31.14,4.22,3.53,-0.2592,3987.91,50.82,55.69,0.86,4.78,3.35,2.31
11,"Kingston, Ont.",169645,0.063,8.1,83515.16,41626.97,369279,318189,3.81,2.22,1865,0.0223,0.13,8694,0.1679,0.0114,9.01,2.17,3.83,808.71,159.06,123.38,222.5,99.09,10.67,6.87,7.24,-0.093,6134.77,63.74,60.16,1.23,5.16,4.36,1.86
12,"L‚vis, Que.",143934,0.07,4,75659.17,34536.01,248740,232092,3.07,2.51,1860,0.0246,0.1498,11302,0.2217,0.0155,4.03,0.77,4.2,899.3,174.93,118.16,194.5,94.07,31.14,4.22,3.53,-0.1499,3271.31,38.2,36.25,0.56,5.13,3.35,1.81
13,"Saskatoon, Sask.",278389,0.109,5.5,89768.06,42066.91,377703,355092,3.96,2.12,1908,0.0213,0.1,10195,0.1381,0.0098,5.69,2.13,3.55,263.83,108.7,65.48,170.4,103.88,38.8,3.25,9.75,-0.2343,10016.53,117.43,141.44,1.79,5.07,3.02,1.74
14,"Saanich, B.C.",114323,0.013,5.7,86710.2,39279.51,692672,577652,6.66,2.24,1903,0.0219,0.12,8611,0.109,0.0137,5.54,5.1,11.08,886.27,158.51,156.12,334,70.54,0,10.31,0.19,-0.2149,4662.79,44.18,31.44,0.74,4.25,2.98,2.43
15,"Gatineau, Que.",278252,0.105,5.7,82203.49,36707.68,207079,250721,3.05,2.49,1996,0.0243,0.13,8694,0.2144,0.012,4.47,1.72,15.81,755.45,160.65,118.34,215.6,116.53,16.84,6.64,17.48,-0.1279,5645.79,69.14,74.73,0.45,3.51,2.45,2.72
16,"Moncton, N.B.",145873,0.096,7.3,73386.54,36594.33,192515,160158,2.18,2.19,1614,0.022,0.13,11036,0.2401,0.0098,6.69,0.95,2.67,841.97,160.77,122.8,198.3,99.12,13.98,6.08,3.86,-0.3094,5115.6,67.16,83.41,2.02,4.8,3.28,1.64
17,"Lacombe, Alta.",12510,0.1,6.9,91951.99,46398.22,430669,262575,2.86,2.03,1911,0.0208,0.05,9474,0.1474,0.0056,8.3,1.04,-,366.45,108.03,75.71,156.3,81.02,28.17,3,0,-0.2961,7169.9,67.65,59.76,1.76,4.36,2.3,1.58
18,"Rimouski, Que.",53000,0.068,6.5,65898.06,31726.89,195631,177041,2.69,2.29,1496,0.0227,0.1498,11302,0.2086,0.0062,10.16,1.15,0.66,686.51,166.74,115.55,196.9,72.3,13.88,4.37,2.51,-0.0463,4868.64,53.83,57.38,1.45,5.32,3.91,1.96
19,"Winnipeg, Man.",769351,0.05,5.7,80375.63,37234.45,331003,289116,3.6,2.11,1711,0.0213,0.13,11036,0.1697,0.0087,5.43,1.47,12.37,418.91,125.34,78.28,172.1,109.65,51.98,2.99,11.11,-0.2405,6823.51,102.3,161.88,0.84,4.77,2.72,1.91
20,"Repentigny, Que.",85425,0.071,5.4,84146.76,38914.61,275601,245175,2.91,2.59,2114,0.0251,0.1498,11302,0.2304,0.0158,2.73,0.74,5.68,800.6,160.48,121.12,201.3,108.19,28.72,5.44,9.58,-0.0536,4015.35,44.33,32.02,0.8,4.93,2.34,1.35
21,"Blainville, Que.",57058,0.155,4.6,104837.94,47868.03,404908,302838,2.89,2.73,2765,0.0264,0.1498,11302,0.2752,0.0435,1.86,0.92,6.24,835.94,167.46,119.55,198.7,111.65,25.27,5.33,6.84,-0.1411,3768.37,52.65,53.84,0.63,5.11,2.34,1.55
22,"Fredericton, N.B.",99066,0.09,7.5,76907.61,37617.54,235639,218490,2.84,2.07,1598,0.0208,0.13,10725,0.1894,0.0076,7.83,1.24,3.18,859.13,148.93,115.4,192.3,104.38,20,5.56,3.94,-0.1484,7103.04,75.23,74.67,1.25,3.52,2.45,2
23,"Stratford, Ont.",32217,0.016,6.8,75897.64,39110.37,379810,258171,3.4,2.45,1899,0.025,0.13,8694,0.1624,0.0077,11.93,4.62,1.88,851.17,164.95,117.69,215.7,111.88,4.06,7.43,10.4,-0.2535,5277.44,53.33,37.58,1.92,3.47,3.17,2.55
24,"Aurora, Ont.",56697,0.09,7.7,133429.44,63608.47,832876,576304,4.32,2.78,3483,0.0261,0.13,8694,0.2355,0.0493,3.43,0.45,7.95,744.58,165.19,120.17,220.8,118.74,4.69,7.9,22.3,-0.1872,2806.5,35.83,39.07,0.46,2.84,2.07,2.41
25,"North Vancouver, B.C. (District Municipality)",88085,0.025,6,118223.85,50397.39,1081346,910031,7.7,2.46,2825,0.0239,0.12,8611,0.1579,0.0321,3.45,1.48,9.66,1861.54,175.09,114.36,212.4,30.55,0.13,5.46,1.38,-0.1538,4185.64,40.28,30.18,0.25,3.89,2.46,4.16
26,"Halifax, N.S.",412626,0.05,7.2,81062.48,38269.81,292268,280313,3.46,2,1631,0.0201,0.15,11159,0.237,0.0119,9.73,0.84,11.43,1313.89,161.79,142.66,234.3,78.18,0.81,7.46,0.75,-0.1765,6489.29,74.28,92.36,1.12,4.88,3.67,2.47
27,"Whitby, Ont.",131539,0.078,7.3,109010,51976.26,433584,414719,3.8,2.77,2966,0.0272,0.13,8694,0.2051,0.018,2.31,0.31,10.28,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-0.2675,3626.65,44.71,55.55,0.57,3.65,1.47,1.99
28,"North Vancouver, B.C (City)",51650,0.063,6.1,72793.84,27680.02,482012,658986,9.05,1.69,1281,0.0176,0.12,8611,0.1579,0.0321,8.98,1.97,20.15,3734.77,203.17,195.02,296.8,81.03,0,9.11,0.33,-0.2084,7545.92,69.64,64.45,3.1,3.85,2.46,3.93
29,"Halton Hills, Ont.",62493,0.056,6.6,117992.64,55863.63,643309,515080,4.37,2.95,3420,0.029,0.13,8694,0.19,0.0146,3.34,0.89,3.09,741.49,138.86,112.09,196.3,120.32,8.7,7.1,8.36,-0.2475,2611.04,28.59,23.59,0.3,2.64,2.07,1.68
30,"Guelph, Ont.",150405,0.055,6.6,91764.28,44234.71,426367,374079,4.08,2.62,2386,0.026,0.13,8694,0.1719,0.012,5.05,1.89,5.56,781.99,167.01,127.37,205.5,112.98,8.29,6.68,8.21,-0.1344,4549.53,50.52,53.8,1.04,3.61,1.91,1.87
31,"Newmarket, Ont.",84902,0.06,7.7,106853.45,49392.58,516102,480049,4.49,2.82,2924,0.0274,0.13,8694,0.2126,0.0262,4.47,0.51,5.9,735.34,129.52,101.79,210.5,107.15,7.22,6.96,12.78,-0.1872,2806.5,35.83,39.07,1.5,3.2,2.07,1.98
32,"Toronto, Ont.",2774128,0.045,9.3,93287.63,42598.65,610038,594112,6.37,2.07,1909,0.0205,0.13,8694,0.2252,0.0418,7.58,1.66,34.09,714.02,145.49,114.08,264.4,117.23,1.22,9.39,35.62,-0.2031,4097.5,64.52,114.46,1.11,3.12,2.07,3.35
33,"Red Deer, Alta.",96650,0.028,6.3,94005.94,48307.09,374903,254760,2.71,2.32,2204,0.0234,0.05,9474,0.1705,0.0093,4.82,1.19,3.34,383.66,119.12,75.04,152.9,83.48,31.91,2.75,0,0.4321,16451.3,163.57,151.08,1.73,4.86,2.3,1.58
34,"Lethbridge, Alta.",113824,0.088,6.3,75911.21,38678.95,281831,193466,2.55,2.1,1621,0.0214,0.13,10198,0.1321,0.0057,5.19,1.17,1.98,988.32,168.26,137.59,181.5,63.97,8.76,4.83,0.18,-0.1529,9237.53,92.37,89.78,1.48,4.98,1.98,1.46
35,"Yellowknife, NWT",20526,0.024,6,138277.58,70680.66,330992,493544,3.57,2.43,3332,0.0241,0.05,8671,0.2042,0.0033,22.74,2.62,1.16,170.73,118.51,51.3,140.7,42.78,105.18,-4.28,0.32,0,37002.11,217.2,80,0.44,4.04,2.48,2.91
36,"West Vancouver, B.C.",44226,0.009,7.1,180205.46,79499.35,2729123,1639337,9.1,2.57,4278,0.0237,0.12,8611,0.2196,0.1121,4.79,1.55,9.3,1152.84,168.94,165.06,324.4,76.5,0,10.55,2.25,-0.2858,4109.98,42.08,32.95,1.11,3.16,2.46,3.84
37,"St. John's, Nfld.",204371,0.097,7.6,94789,45298.76,279406,297204,3.14,2.09,1978,0.0209,0.13,10198,0.2784,0.0125,5.89,0.25,2.48,1206.35,211.66,162.64,198.7,52.6,0.6,5.03,0.02,0.0329,8036.84,86.3,77.34,1.21,4.93,3.42,1.81
38,"Brossard, Que.",83800,0.127,6.3,94805.41,43681.7,436484,313592,3.31,2.74,2545,0.0268,0.1498,11302,0.2166,0.0354,3.46,0.63,25.68,798.56,164.56,119.8,205.9,117.5,19.38,6.15,13.88,-0.2373,5056.13,70.83,65.18,0.6,3.17,2.34,2.3
39,"Vancouver, B.C",642717,0.037,7.1,80048.15,30229.31,742353,942329,11.77,1.89,1545,0.0193,0.12,8611,0.1653,0.0457,12.53,3.57,24.89,1231.11,171.12,167.41,330.5,53.08,0,10.28,0.09,-0.2632,7494.41,100.01,114.91,1.31,3.94,2.46,4.3
40,"Camrose, Alta.",18435,0.066,5.9,79369.31,42082.78,328783,233456,2.94,1.99,1621,0.0204,0.05,9474,0.1399,0.0049,6.83,0.88,0.19,326.26,114.38,75.46,164.8,82.56,33.78,3.01,0.19,-0.1727,10729.14,103.22,97.21,1.57,5.65,2.01,1.23
41,"London, Ont.",501888,0.035,8.6,80910.56,40541.92,340025,275233,3.4,2.4,1942,0.024,0.13,8694,0.2063,0.0158,5.56,1.38,6.38,845.89,168.02,122.39,223,122.46,3.83,7.85,15.32,-0.1726,6955.62,83.36,71.79,1.01,4.79,3.09,1.54
42,"Brandon, Man.",57442,0.145,5.7,75376.14,36689.47,254578,231707,3.07,2.01,1551,0.0206,0.13,11036,0.1594,0.0044,7.38,1.72,3.86,374.85,116.61,71.99,160.9,102.96,52.84,2.21,4.68,-0.0998,9549.71,89.39,93.94,1.58,5.34,2.39,1.31
43,"Waterloo, Ont",105444,0.007,7.2,102824.65,51311.61,550971,366219,3.56,2.55,2596,0.0252,0.13,8694,0.1827,0.0247,6.47,2.74,4.23,776.77,165.97,118.73,207.6,115.67,5.99,7.01,9.8,-0.1074,4992.24,58.05,60.75,0.86,3.08,1.48,2.28
