RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
72,"Mississauga, Ont",760660,0.047,8.7,98736.78,44831.48,500198,527133,5.34,2.43,2371,0.024,0.13,8694,0.2205,0.0305,2.41,0.33,15.79,723.1,126.19,110.71,242.4,102.78,2.56,8.44,14.19,-0.1657,3271.38,47.49,57.11,0.7,2.93,2.07,1.59
73,"Dawson Creek, B.C.",12452,0.071,6.7,76532.64,37768.32,226857,259164,3.39,1.8,1403,0.0183,0.12,8611,0.1629,0.0028,7.71,1.27,0.52,307.18,126.39,73.89,162.3,75.49,48.34,1.92,0.01,-0.0917,17095.69,149.3,163.84,1.53,4.29,2.09,1.82
74,"Langley, B.C. (DM)",112431,0.108,6.1,97796.38,43008.61,667368,572758,5.86,2.34,2283,0.0233,0.12,8611,0.1413,0.011,3.19,0.54,2.77,1715.49,194.47,190.07,311.6,109,0,10.85,2.17,-0.0616,8435.17,102.32,89.82,0.7,3.34,2.46,1.77
75,"Kamloops, B.C.",104746,0.053,8.5,75931.69,36517.99,359903,332798,4.38,2.08,1601,0.0211,0.12,8611,0.1264,0.006,5.24,1.33,3.65,224.34,105.58,83.28,246,131.99,3.39,9.27,26.04,-0.1242,11568.68,105.86,111.71,1.1,4.15,2.5,1.61
76,"Victoria, B.C",84414,0.02,7.3,59940.57,24358.25,349237,475855,7.94,1.6,986,0.0164,0.12,8611,0.1026,0.0123,23.36,9.51,12.61,845.34,155.05,151.86,319.2,78.88,0,11.24,0.44,-0.2954,10852.96,118.65,122.55,3.62,4.23,2.98,3.62
77,"Hamilton, Ont.",549165,0.041,8.7,80671.87,39453.04,348344,333028,4.13,2.59,2099,0.026,0.13,8694,0.1544,0.0132,5.01,0.85,8.78,791.67,156.23,117.75,226.8,120.19,3.29,7.91,14.82,-0.1614,5494.36,71.14,76.67,1.04,4.12,2.54,1.56
78,"Medicine Hat, Alta.",76023,0.013,7.1,82571.51,43177.51,382532,240884,2.92,2.16,1806,0.0219,0.05,9474,0.14,0.0065,3.35,0.64,1.58,244.79,94.73,59.2,190.4,120.41,22.82,6.08,13.85,-0.1082,7073.43,72.95,78.53,1.32,4.36,1.87,1.12
79,"Wetaskiwin, Alta.",13291,0.069,9.1,74044.6,38464.79,272678,195788,2.64,2.05,1559,0.0211,0.05,9474,0.1378,0.0038,8.29,1.6,0.99,369.78,110.33,74.06,152.4,88.57,34.94,2.79,0.09,-0.1986,20337.52,150.53,132.91,1.81,5.06,2.48,0.85
80,"Markham, Ont.",335947,0.152,8.1,112387.02,49889.92,810071,648288,5.77,2.65,3012,0.0268,0.13,8694,0.2441,0.0621,1.8,0.26,14.18,744.58,165.19,120.17,220.8,118.74,4.69,7.9,22.3,-0.1872,2806.5,35.83,39.07,0.65,2.96,2.07,1.93
81,"Cobourg, Ont.",19342,0.019,8.7,75650.15,40087.71,360944,250881,3.32,2.59,1949,0.0258,0.13,8694,0.1787,0.0085,9.75,1.35,2.04,793.9,123.57,104.84,224.2,96.36,5.17,7.46,4.12,-0.3322,4783.68,40.5,29.32,0.72,3.29,2.02,1.72
82,"Saint-Jean-sur-Richelieu, Que.",95593,0.057,5.6,70368.07,32669.27,230973,234519,3.33,2.35,1620,0.023,0.1498,11302,0.1841,0.0117,5.11,1.44,5.88,928.32,151.79,119.35,212.7,114.64,17.68,6.63,12.99,-0.1151,5783.78,68.81,64.08,1.09,4.31,2.06,1.29
83,"Joliette, Que.",49490,0.101,7.4,61384.73,28985.95,226331,188690,3.07,2.21,1340,0.0218,0.1498,11302,0.1784,0.0098,7.48,1.93,1.14,813.12,127.17,95.99,201.8,113.38,21.19,6,11.76,0.0185,6653.91,90.43,73.52,1.43,4.83,3.96,1
84,"Coquitlam, B.C",136457,0.115,7.2,85627.73,36858.12,534009,553719,6.47,2.19,1918,0.0224,0.12,8611,0.1643,0.0265,3.48,0.56,13.54,2112.41,184.02,180.73,296.1,92,0,10.02,1.05,-0.2326,6339.25,71.97,59.65,0.48,3.22,2.46,1.94
